,sahm,indpro,sp500,tr10,t10yff,unrate,recession
81,0.03,37.3546,103.41,5.5826086956521745,-0.32173913043478264,0.034,0
82,-0.03,37.8378,108.37,5.696111111111112,-0.01388888888888887,0.034,0
83,-0.1,37.9573,103.86,6.031904761904762,0.12380952380952381,0.034,0
84,-0.1,38.1869,103.01,6.041818181818181,-0.2672727272727273,0.034,0
85,-0.03,38.4313,98.13,6.1889473684210525,-0.35789473684210527,0.034,0
86,0.03,38.7326,101.51,6.296,-0.457,0.034,0
87,0.1,38.5901,103.69,6.173333333333333,-1.2038095238095239,0.034,0
88,0.17,38.4443,103.46,6.323333333333333,-2.153809523809524,0.034,0
89,0.17,38.8198,97.71,6.574285714285715,-2.04,0.035,0
90,0.2,39.0248,91.83,6.71952380952381,-1.7214285714285713,0.035,0
91,0.2,39.1145,95.51,6.691428571428572,-2.32047619047619,0.035,0
92,0.4,39.1057,93.12,7.159523809523809,-1.9,0.037000000000000005,0
93,0.5,39.1171,97.12,7.095454545454545,-1.7113636363636362,0.037000000000000005,0
94,0.47,38.7484,93.81,7.144117647058824,-1.576470588235294,0.035,0
95,0.27,38.6444,92.06,7.654090909090908,-1.204090909090909,0.035,0
96,0.3,37.9288,85.02,7.794761904761905,-1.1642857142857141,0.039,1
97,0.53,37.9038,89.5,7.238333333333333,-1.7066666666666666,0.042,1
98,0.8,37.8546,89.63,7.072857142857143,-0.6238095238095238,0.044000000000000004,1
99,1.07,37.7573,81.52,7.390909090909091,-0.6950000000000001,0.046,1
100,1.27,37.7133,76.55,7.906190476190476,0.04714285714285714,0.048,1
101,1.37,37.5913,72.72,7.841818181818183,0.3013636363636364,0.049,1
102,1.43,37.6836,78.05,7.457272727272727,0.3481818181818182,0.05,1
103,1.47,37.6164,81.52,7.527142857142857,0.9057142857142857,0.051,1
104,1.6,37.3571,84.3,7.38952380952381,1.1257142857142857,0.054000000000000006,1
105,1.8,36.6098,83.25,7.326666666666667,1.1395238095238096,0.055,1
106,2.03,36.3881,87.2,6.841111111111111,1.2505882352941178,0.059000000000000004,1
107,2.27,37.2237,92.15,6.391363636363636,1.5436363636363637,0.061,0
108,2.37,37.5101,95.88,6.2385,1.943,0.059000000000000004,0
109,2.1,37.4386,96.75,6.112222222222222,2.451111111111111,0.059000000000000004,0
110,1.77,37.398,100.31,5.7034782608695656,1.994782608695652,0.06,0
111,1.53,37.608,103.95,5.833809523809524,1.6714285714285715,0.059000000000000004,0
112,1.43,37.7989,99.63,6.3925,1.7335,0.059000000000000004,0
113,1.17,37.9574,98.7,6.522272727272727,1.6104545454545454,0.059000000000000004,0
114,0.97,37.8472,95.58,6.729523809523809,1.4295238095238094,0.06,0
115,0.87,37.6276,99.03,6.582727272727272,1.0122727272727272,0.061,0
116,0.8,38.2391,98.34,6.13952380952381,0.6166666666666666,0.06,0
117,0.63,38.5253,94.23,5.925789473684211,0.72,0.057999999999999996,0
118,0.33,38.6888,93.99,5.8100000000000005,0.9205,0.06,0
119,0.13,39.1355,102.09,5.926363636363636,1.8340909090909092,0.06,0
120,0.03,40.0728,103.94,5.947619047619048,2.4038095238095236,0.057999999999999996,0
121,-0.07,40.4789,106.57,6.081,2.7855,0.057,0
122,-0.03,40.761,107.2,6.068636363636363,2.230909090909091,0.057999999999999996,0
123,0.0,41.1654,107.67,6.1945,2.025,0.057,0
124,0.07,41.1693,109.53,6.126363636363636,1.8622727272727273,0.057,0
125,-0.07,41.2778,107.14,6.1068181818181815,1.6386363636363634,0.057,0
126,-0.13,41.2389,107.39,6.113,1.5935000000000001,0.055999999999999994,0
