,sahm,indpro,sp500,tr10,t10yff,unrate,pcepi,recession,date
165,2.7,0.004328376797218574,0.05981772597096932,-0.28893939393939405,2.3227272727272728,0.084,0.1579999999999977,0,1975-10-01
166,2.27,0.0013724207892711476,0.024407690448897713,-0.08478609625668554,2.8876470588235295,0.083,0.17600000000000193,0,1975-11-01
167,1.8,0.013468112985344245,-0.0115748412385705,-0.056122994652406,2.8004545454545453,0.08199999999999999,0.15200000000000102,0,1975-12-01
168,0.93,0.013184261240912099,0.11181486047096256,-0.25443722943722946,2.9047619047619047,0.079,0.10500000000000043,0,1976-01-01
169,0.2,0.010029197479337771,-0.011467443807877717,0.05039682539682566,3.0366666666666666,0.077,0.03599999999999781,0,1976-02-01
170,-0.27,0.0020145496897215676,0.030227508796280198,-0.058429951690822435,2.896086956521739,0.076,0.04200000000000159,0,1976-03-01
171,-0.1,0.005137821519955156,-0.011056323185018374,-0.17006211180124176,2.7195238095238095,0.077,0.06299999999999883,0,1976-04-01
172,-0.1,0.004108218431171937,-0.014468590522492556,0.3307142857142864,2.6239999999999997,0.07400000000000001,0.13299999999999912,0,1976-05-01
173,0.0,0.0010489232397493757,0.040111021135830226,-0.03363636363636502,2.381818181818182,0.076,0.12300000000000111,0,1976-06-01
174,0.1,0.005620322445577,-0.008087854601699005,-0.029458874458873296,2.5333333333333337,0.078,0.14300000000000068,0,1976-07-01
175,0.3,0.006807402828287636,-0.005136914615601727,-0.06326839826839858,2.4704545454545457,0.078,0.1559999999999988,0,1976-08-01
176,0.4,0.003256281438552645,0.022388636324091705,-0.17435064935065014,2.34,0.076,0.16000000000000014,0,1976-09-01
177,0.43,-0.0002490713130968731,-0.022485813332087955,-0.18328571428571383,2.3995,0.077,0.14999999999999858,0,1976-10-01
178,0.5,0.015264411900873267,-0.007804917669384203,-0.11994736842105258,2.345263157894737,0.078,0.13100000000000023,0,1976-11-01
179,0.47,0.010675397394024675,0.05116596013005545,-0.42196172248803787,2.1913636363636364,0.078,0.1620000000000026,0,1976-12-01
180,0.27,-0.006920746553021055,-0.051851797613461516,0.3442424242424238,2.567619047619048,0.075,0.16900000000000048,0,1977-01-01
181,0.1,0.015733562933272858,-0.021898323645750714,0.1777192982456146,2.702105263157895,0.076,0.2289999999999992,0,1977-02-01
182,-0.07,0.012493215924518493,-0.014124528603630976,0.06894736842105331,2.763913043478261,0.07400000000000001,0.1479999999999997,0,1977-03-01
183,-0.1,0.009715939105143179,0.00020319008502289352,-0.08950000000000102,2.646,0.07200000000000001,0.1720000000000006,0,1977-04-01
184,-0.2,0.00779412030494082,-0.023849814654586837,0.08616666666666717,2.111428571428571,0.07,0.1509999999999998,0,1977-05-01
185,-0.07,0.007654523147915315,0.04436129185162042,-0.1812121212121216,1.8781818181818182,0.07200000000000001,0.16799999999999926,0,1977-06-01
186,-0.03,0.0013579802186388496,-0.016355153103262736,0.05454545454545556,1.9226315789473685,0.069,0.1559999999999988,0,1977-07-01
187,0.07,0.0009230407657968687,-0.02126652072377475,0.06652173913043402,1.4956521739130435,0.07,0.1410000000000018,0,1977-08-01
188,0.0,0.004032204861679425,-0.0024831880323273004,-0.05271221532091097,1.189047619047619,0.068,0.11499999999999844,0,1977-09-01
189,0.03,0.0015379261344777915,-0.04437642378168087,0.1796904761904763,1.049,0.068,0.14199999999999946,0,1977-10-01
190,-0.03,0.001895315456553944,0.02660839781679322,0.053868421052631454,1.0905263157894736,0.068,0.17600000000000193,0,1977-11-01
191,-0.13,0.0016895105678612294,0.002843154655708485,0.107869674185463,1.1104761904761904,0.064,0.14999999999999858,0,1977-12-01
192,-0.17,-0.014678800280688615,-0.06348754889159611,0.27095238095238194,1.2166666666666668,0.064,0.18299999999999983,0,1978-01-01
193,-0.2,0.005400959234364004,-0.02507363755211585,0.07714285714285651,1.2272222222222222,0.063,0.14499999999999957,0,1978-02-01
194,-0.07,0.01910407822579476,0.024625357818059357,0.0025757575757570095,1.2327272727272727,0.063,0.20300000000000296,0,1978-03-01
