,sahm,indpro,sp500,tr10,t10yff,unrate,pcepi,payems,houst,recession
1985-02-01,0.1,0.002931857968562,0.0085918324603975,0.124603174603175,3.026111111111111,0.072,0.2289999999999992,0.8212976247409532,0.5724206349206349,0
1985-03-01,0.13,0.0014654507146859,-0.0028742005194443,0.3463492063492079,3.3038095238095235,0.072,0.1940000000000026,0.8295871194006058,0.6557539682539681,0
1985-04-01,0.1,-0.0022044719842057,-0.0046048515445918,-0.420476190476192,3.0947619047619046,0.073,0.0719999999999956,0.8238880918220947,0.6661706349206349,0
1985-05-01,0.1,0.0016985677792509,0.0526408817852382,-0.5879437229437237,2.855909090909091,0.072,0.1180000000000021,0.8269966523194644,0.5962301587301586,0
1985-06-01,0.1,-0.0005226102122957,0.0120609747306175,-0.6908181818181802,2.643,0.074,0.1360000000000027,0.8219352781763112,0.5942460317460316,0
1985-07-01,0.1,-0.0050299013488195,-0.0048593245552655,0.150818181818181,2.4095454545454547,0.074,0.1229999999999975,0.8236091184441257,0.5982142857142856,0
1985-08-01,0.0,0.0032205851662355,-0.0120670677800625,0.0250000000000003,2.416818181818182,0.071,0.1659999999999968,0.8237286784632553,0.6274801587301586,0
1985-09-01,-0.07,0.0037029362368226,-0.035341273419667,0.0413397129186599,2.406315789473684,0.071,0.0850000000000008,0.8242467718794835,0.5942460317460316,0
1985-10-01,-0.07,-0.003507028151875,0.0416301037643799,-0.1363397129186605,2.2113636363636364,0.071,0.0840000000000031,0.8235692651044157,0.6726190476190477,0
1985-11-01,0.0,0.0034632433178398,0.0630326729238892,-0.4552392344497598,1.7357894736842103,0.07,0.1469999999999984,0.8244460385780329,0.6051587301587302,0
1985-12-01,-0.07,0.0098577875383642,0.0440753403626414,-0.5225313283208024,0.8247619047619048,0.07,0.1700000000000017,0.8226924916307987,0.726190476190476,0
1986-01-01,-0.13,0.0052252088694576,0.0023637320134316,-0.0652380952380955,1.2114285714285715,0.067,0.2340000000000017,0.8209787980232743,0.7410714285714286,0
1986-02-01,0.1,-0.006886772802917,0.069049532456058,-0.4895989974937347,0.8310526315789474,0.072,0.0,0.8206599713055954,0.6795634920634921,0
1986-03-01,0.2,-0.0070930654524211,0.0514475218733974,-0.9257105263157897,0.2425,0.072,-0.1120000000000018,0.8195440777937191,0.6934523809523809,0
1986-04-01,0.33,0.0011328886773522,-0.0142492187912523,-0.4794090909090895,0.2545454545454545,0.071,-0.1039999999999992,0.8235294117647058,0.7217261904761905,0
1986-05-01,0.33,0.0019077086101283,0.049008502133206,0.4104329004328999,0.8357142857142857,0.072,0.0929999999999964,0.8211382113821138,0.6825396825396826,0
1986-06-01,0.3,-0.0038938427712837,0.0140109480011024,0.0899999999999998,0.848095238095238,0.072,0.1900000000000048,0.812370476645943,0.6790674603174602,0
1986-07-01,0.23,0.0062004144351367,-0.0604751353023314,-0.4963419913419917,0.7413636363636363,0.07,0.0129999999999981,0.8287501992666986,0.6468253968253967,0
1986-08-01,0.07,-0.001712633628457,0.0687726202302054,-0.1374675324675323,0.9938095238095238,0.069,0.064,0.8206599713055954,0.6592261904761905,0
1986-09-01,0.03,0.0027398941673634,-0.0893107373126765,0.2819047619047623,1.5276190476190474,0.07,0.1679999999999992,0.8298660927785748,0.5997023809523809,0
1986-10-01,0.07,0.004249996910524,0.053284221430574,-0.0212554112554119,1.564545454545455,0.07,0.0919999999999987,0.8235294117647058,0.5967261904761905,0
1986-11-01,0.13,0.0039123567925072,0.0212497857941301,-0.175808080808081,1.156111111111111,0.069,0.0919999999999987,0.8235294117647058,0.5679563492063491,0
1986-12-01,-0.07,0.0095009746360233,-0.0286960816423112,-0.1378282828282824,-0.1095454545454545,0.066,0.071000000000005,0.8240873585206441,0.6721230158730158,0
1987-01-01,-0.07,-0.0038627877715495,0.1237800757033994,-0.0282272727272721,0.8915000000000001,0.066,0.242999999999995,0.8228120516499283,0.6428571428571428,0
1987-02-01,-0.07,0.0132390932376262,0.0362581810871904,0.1660263157894732,1.1321052631578947,0.066,0.1820000000000021,0.8256814921090387,0.6478174603174602,0
1987-03-01,-0.03,0.0013438909155881,0.0260476612106755,-0.0018899521531094,1.095,0.066,0.1379999999999981,0.8258409054678783,0.6190476190476191,0
1987-04-01,-0.13,0.0065158925467288,-0.0115161773372977,0.7742207792207791,1.568095238095238,0.063,0.1950000000000002,0.8294277060417663,0.5634920634920635,0
1987-05-01,-0.13,0.0062304411350819,0.0060159915909805,0.5901428571428564,1.785,0.063,0.1330000000000026,0.8252032520325203,0.5704365079365079,0
1987-06-01,-0.17,0.0053348434823878,0.0468020102788633,-0.2107272727272722,1.6763636363636365,0.062,0.198999999999998,0.8229316116690578,0.5535714285714286,0
1987-07-01,-0.1,0.0067515500800254,0.0470970022561411,0.0445454545454531,1.8631818181818185,0.061,0.1219999999999998,0.8299059461182847,0.5441468253968254,0
1987-08-01,-0.1,0.007463225442033,0.0343617064631357,0.3136580086580096,2.0157142857142856,0.06,0.2090000000000031,0.8229714650087677,0.5590277777777777,0
1987-09-01,-0.07,0.0039187988973974,-0.0244629543064861,0.6614285714285728,2.1342857142857143,0.059,0.1789999999999949,0.8251235453531006,0.6036706349206349,0
1987-10-01,0.0,0.0133549353736752,-0.2454280490561666,0.0980952380952384,2.250952380952381,0.06,0.169000000000004,0.8356448270365057,0.5143849206349207,0
1987-11-01,-0.03,0.004925805555966,-0.0892125999362063,-0.6594736842105284,2.1857894736842107,0.0579999999999999,0.100999999999999,0.8254025187310696,0.5843253968253967,0
1987-12-01,-0.03,0.005468754539261,0.0703293640010588,0.1272009569377985,2.215,0.057,0.0989999999999966,0.8275944524151124,0.4573412698412698,0
1988-01-01,-0.07,-0.0002586344117551,0.0396362505214387,-0.3219377990430612,1.813684210526316,0.057,0.2080000000000055,0.8197433444922685,0.3933531746031746,0
