Date,Open,High,Low,Close,Volume
8/31/1965,85.25,87.79,84.8,87.17,60594443
9/30/1965,87.17,91.13,86.69,89.96,86211112
10/31/1965,89.96,93.19,89.3,92.42,91161112
11/30/1965,92.42,93.3,90.81,91.61,81727779
12/31/1965,91.61,93.07,89.2,92.43,106138888
1/31/1966,92.43,94.64,91.63,92.88,101616668
2/28/1966,92.88,94.72,90.43,91.22,92105556
3/31/1966,91.22,91.65,86.69,89.23,106311111
4/30/1966,89.23,93.02,88.96,91.06,103422223
5/31/1966,91.06,91.75,83.18,86.13,95161110
6/30/1966,86.13,87.74,83.75,84.74,78027778
7/31/1966,84.74,88.19,83.05,83.6,66561111
8/31/1966,83.5,84.7,73.91,77.1,90238892
9/30/1966,77.1,80.81,75.03,76.56,66683333
10/31/1966,76.56,80.91,72.28,80.2,81227780
11/30/1966,80.2,83.01,78.89,80.45,80988888
12/31/1966,80.45,83.88,79.49,80.33,91705554
1/31/1967,80.33,88.17,79.43,86.61,115227778
2/28/1967,86.61,89,85.61,86.78,101638889
3/31/1967,86.78,91.72,86.67,90.2,124800001
4/30/1967,90.2,94.77,87.86,94.01,104249998
5/31/1967,94.01,95.25,88.71,89.08,121344446
6/30/1967,89.08,93.28,87.19,90.64,118105554
7/31/1967,90.64,95.51,90.12,94.75,120405555
8/31/1967,94.75,96.67,92.01,93.64,115444444
9/30/1967,93.64,98.31,93,96.71,113866667
10/31/1967,96.71,98.25,93.29,93.3,124877777
11/30/1967,93.3,95.51,90.09,94,117461110
12/31/1967,94,96.9,93.41,96.47,127477777
1/31/1968,96.47,97.84,91.27,92.24,145983334
2/29/1968,92.24,93.44,86.73,89.36,96877779
3/31/1968,89.36,91.09,86.99,90.2,107005556
4/30/1968,91.11,98.61,91.11,97.46,164122224
5/31/1968,97.46,100.19,95.8,98.68,162211109
6/30/1968,98.72,102.84,98.72,99.58,142938887
7/31/1968,99.58,103.67,96.84,97.74,134694445
8/31/1968,97.74,99.67,95.79,98.86,107761110
9/30/1968,98.86,103.63,98.31,102.67,126833334
10/31/1968,102.67,105.78,101.8,103.41,151222224
11/30/1968,103.41,109.09,101.85,108.37,139916666
12/31/1968,108.37,109.37,102.98,103.86,148600001
1/31/1969,103.86,104.87,96.63,103.01,148111110
2/28/1969,103.01,104.61,97.36,98.13,115272221
3/31/1969,98.13,102.35,97.06,101.51,110616668
4/30/1969,101.51,104.56,99.08,103.69,131627778
5/31/1969,103.69,106.74,102.29,103.46,142544445
6/30/1969,103.46,103.75,95.21,97.71,130627779
7/31/1969,97.71,100.33,88.04,91.83,126805558
8/31/1969,91.92,96.43,91.48,95.51,112044444
9/30/1969,95.51,96.62,91.77,93.12,121750002
10/31/1969,93.12,98.83,91.66,97.12,172283330
11/30/1969,97.12,99.23,92.24,93.81,118666668
12/31/1969,93.81,94.47,88.62,92.06,151305554
1/31/1970,92.06,94.25,84.42,85.02,122827777
2/28/1970,85.02,90.33,84.64,89.5,126877778
3/31/1970,89.5,91.07,86.19,89.63,118266666
4/30/1970,89.63,90.7,79.31,81.52,123955556
5/31/1970,81.52,82.32,68.61,76.55,143455555
6/30/1970,76.55,79.96,72.25,72.72,125788889
7/31/1970,72.72,79.03,70.69,78.05,126522221
8/31/1970,78.05,82.47,74.13,81.52,121494446
9/30/1970,81.52,84.99,79.95,84.3,168494444
10/31/1970,84.3,87.75,82.29,83.25,145205556
11/30/1970,83.25,87.6,82.23,87.2,127938890
12/31/1970,87.2,92.99,86.11,92.15,186244446
1/31/1971,92.15,96.49,90.64,95.88,193605555
2/28/1971,95.88,99.59,94.92,96.75,206216666
3/31/1971,96.75,102.03,96.11,100.31,216599999
4/30/1971,100.31,105.6,99.63,103.95,223100001
5/31/1971,103.95,104.42,98.68,99.63,170755557
6/30/1971,99.63,102.07,96.92,98.7,168661113
7/31/1971,99.16,101.52,95.08,95.58,147355555
8/31/1971,95.58,101.51,92.81,99.03,178066666
9/30/1971,99.03,102.25,96.97,98.34,140400001
10/31/1971,98.34,100.96,92.96,94.23,155600001
11/30/1971,94.23,96.08,89.34,93.99,153561113
12/31/1971,93.99,102.21,93.95,102.09,209822224
1/31/1972,102.09,105,100.87,103.94,210827777
2/29/1972,103.94,107.16,103.1,106.57,209033334
3/31/1972,106.57,109.75,105.86,107.2,224250000
4/30/1972,107.2,111.11,106.18,107.67,204438890
5/31/1972,107.67,111.48,103.83,109.53,186583337
6/30/1972,109.53,110.51,105.94,107.14,174727780
7/31/1972,107.14,110.27,104.43,107.39,160499999
8/31/1972,107.39,113.45,107.06,111.09,198294445
9/30/1972,111.09,112.12,107.35,110.55,136772221
10/31/1972,110.55,112.26,106.27,111.58,176277775
11/30/1972,111.58,117.91,111.32,116.67,225316668
12/31/1972,116.67,119.79,114.63,118.05,191516667
1/31/1973,118.06,121.74,114.97,116.03,218750001
2/28/1973,116.03,118.98,109.8,111.68,176772221
3/31/1973,111.68,115.61,107.41,111.52,190777778
4/30/1973,111.52,113.65,105.44,106.97,154438890
5/31/1973,106.97,112.25,101.36,104.95,187366668
6/30/1973,104.95,109.52,101.45,104.26,149277778
7/31/1973,104.1,111.04,100.44,108.22,170988890
8/31/1973,108.17,108.17,99.74,104.25,152477777
9/30/1973,104.25,110.45,102.13,108.43,182816666
10/31/1973,108.43,112.82,107.08,108.29,234944444
11/30/1973,108.29,109.2,94.88,95.96,222166668
12/31/1973,95.83,99.09,91.05,97.55,213544444
1/31/1974,97.55,100.94,91.62,96.57,201750001
2/28/1974,96.57,97.43,89.53,96.22,142672223
3/31/1974,96.22,101.05,93.44,93.98,172000000
4/30/1974,93.98,95.42,88.62,90.31,141261110
5/31/1974,90.31,93.59,85.87,87.28,152861110
6/30/1974,87.28,93.76,85.13,86,136299999
7/31/1974,86,86.89,78.96,79.31,152272222
8/31/1974,79.31,83.53,69.37,72.15,155611111
9/30/1974,72.15,73.01,62.52,63.54,155583334
10/31/1974,63.54,75.9,60.96,73.9,209500000
11/30/1974,73.9,77.41,66.85,69.97,159327778
12/31/1974,69.8,69.8,64.13,68.56,175083334
1/31/1975,68.65,78.69,68.65,76.98,240305555
2/28/1975,76.98,83.56,76,81.59,235355557
3/31/1975,81.59,87.08,80.08,83.36,252005556
4/30/1975,83.36,88.79,79.66,87.3,250750000
5/31/1975,87.3,93.51,86.94,91.15,254161112
6/30/1975,91.32,95.85,89.3,95.19,248333335
7/31/1975,95.19,96.58,87.68,88.75,245377778
8/31/1975,88.75,89.04,82.21,86.88,156372222
9/30/1975,86.88,87.42,81.57,83.87,152844444
10/31/1975,83.87,91.75,82.57,89.04,203077779
11/30/1975,89.04,92.33,87.63,91.24,177116664
12/31/1975,91.24,91.9,86.15,90.19,193872221
1/31/1976,90.19,101.99,89.81,100.86,353238889
2/29/1976,100.86,103.07,98.5,99.71,331183333
3/31/1976,99.71,104.39,98.23,102.77,294222221
4/30/1976,102.77,104.63,99.57,101.64,217922223
5/31/1976,101.64,103.99,98.26,100.18,197727778
6/30/1976,100.18,105.07,97.97,104.28,231794447
7/31/1976,104.28,106.78,102.31,103.44,218755556
8/31/1976,103.44,105.41,100.43,102.91,192600000
9/30/1976,102.91,108.72,102.6,105.24,230416668
10/31/1976,105.24,105.75,99.21,102.9,200772224
11/30/1976,102.9,103.78,98.18,102.1,211677778
12/31/1976,102.1,107.82,101.62,107.46,296972219
1/31/1977,107.46,107.97,100.91,102.03,278677776
2/28/1977,102.03,103.32,98.82,99.82,221355555
3/31/1977,99.82,102.7,97.8,98.42,241494444
4/30/1977,98.42,102.07,96.53,98.44,223922223
5/31/1977,98.44,100.93,95.52,96.12,236566665
6/30/1977,96.12,101.65,95.89,100.48,269527779
7/31/1977,100.48,102.57,97.71,98.85,251377777
8/31/1977,98.85,99.84,95.04,96.77,240916668
9/30/1977,96.77,98.43,94.44,96.53,213150002
10/31/1977,96.53,97.27,90.2,92.34,229705556
11/30/1977,92.19,97.11,90.01,94.83,274822221
12/31/1977,94.83,95.67,91.76,95.1,250538891
1/31/1978,95.1,95.15,88.02,89.25,237855555
2/28/1978,89.25,91.32,86.58,87.04,204777779
3/31/1978,87.04,91.35,86.45,89.21,276433334
4/30/1978,89.2,97.91,88.07,96.83,386444443
5/31/1978,96.83,100.32,94.57,97.24,430972221
6/30/1978,97.24,101.84,93.99,95.53,370161113
7/31/1978,95.53,101.18,93.59,100.68,300827775
8/31/1978,100.68,106.27,99.95,103.29,480527780
9/30/1978,103.29,108.05,100.66,102.54,373494445
10/31/1978,102.54,106.23,91.65,93.15,379077777
11/30/1978,94.13,97.41,91.77,94.7,285894447
12/31/1978,95.01,98.58,92.64,96.11,273577778
1/31/1979,96.11,102.59,95.22,99.93,342072223
2/28/1979,99.93,100.52,95.38,96.28,264283335
3/31/1979,96.28,103.31,95.98,101.59,361000001
4/30/1979,101.56,103.95,100.14,101.76,344805557
5/31/1979,101.76,102.57,97.49,99.08,346522220
6/30/1979,99.08,103.67,98.57,102.91,408727778
7/31/1979,102.91,105.17,100.35,103.81,378188888
8/31/1979,103.81,109.84,103.14,109.32,458361112
9/30/1979,109.32,111.58,105.38,109.32,396633333
10/31/1979,109.19,112.16,99.06,101.82,476627778
11/30/1979,101.82,107.89,99.42,106.16,363138888
12/31/1979,106.16,110.33,105.07,107.94,394561112
1/31/1980,107.94,117.17,103.26,114.16,643466666
2/29/1980,114.16,120.22,111.33,113.66,531405554
3/31/1980,113.66,114.34,94.23,102.09,486916668
4/30/1980,102.09,106.79,98.95,106.29,374522221
5/31/1980,106.29,112.72,103.5,111.24,424955555
6/30/1980,111.24,117.98,109.77,114.24,460922222
7/31/1980,114.24,123.93,113.54,121.67,567649999
8/31/1980,121.67,127.78,119.42,122.38,536477777
9/30/1980,122.38,132.17,121.79,125.46,587616666
10/31/1980,125.46,135.88,124.66,127.47,573216667
11/30/1980,127.47,141.96,127.23,140.52,548949997
12/31/1980,140.52,140.66,125.32,135.76,569805556
1/31/1981,135.76,140.32,128.57,129.55,530844445
2/28/1981,129.48,132.02,124.66,131.27,453505555
3/31/1981,131.27,138.38,128.56,136,652516668
4/30/1981,136,137.72,131.58,132.81,624149999
5/31/1981,132.81,134.92,128.78,132.59,503016671
6/30/1981,132.59,135.67,128.77,131.21,611650000
7/31/1981,131.21,131.78,125.96,130.92,529983336
8/31/1981,130.92,135.18,122.29,122.79,511416667
9/30/1981,122.79,124.58,110.19,116.18,532855557
10/31/1981,116.18,123.28,115,121.89,554199999
11/30/1981,122.35,126.97,119.13,126.35,548844446
12/31/1981,126.35,127.32,121.04,122.55,533038890
1/31/1982,122.55,123.72,113.63,120.4,537966667
2/28/1982,119.81,119.81,110.03,113.11,540105554
3/31/1982,113.11,114.8,104.46,111.96,704827779
4/30/1982,111.96,119.33,111.48,116.44,631383333
5/31/1982,115.96,119.92,111.66,111.88,570255553
6/30/1982,111.97,112.48,107.01,109.61,616961112
7/31/1982,109.52,112.39,105.57,107.09,636216666
8/31/1982,107.71,120.26,102.2,119.51,929316665
9/30/1982,119.52,126.43,117.84,120.42,860022222
10/31/1982,120.4,140.4,120.15,133.72,1149200000
11/30/1982,133.72,144.36,132.89,138.53,1031688887
12/31/1982,138.56,143.68,134.79,140.64,934488889
1/31/1983,140.65,148.36,138.08,145.3,1031999998
2/28/1983,145.29,150.88,141.9,148.06,897472222
3/31/1983,148.07,155.02,148.07,152.96,1056622226
4/30/1983,152.92,164.43,150.17,164.43,992705553
5/31/1983,164.41,166.99,160.29,162.39,1085072221
6/30/1983,162.38,171.6,160.8,167.64,1096588887
7/31/1983,168.11,170.72,161.5,162.56,883427777
8/31/1983,162.34,165.91,158.5,164.4,948016667
9/30/1983,164.4,170.41,163.95,166.07,966561111
10/31/1983,165.99,172.65,162.86,163.55,997011113
11/30/1983,163.55,168.07,161.63,166.4,1008116666
12/31/1983,166.37,166.77,161.58,164.93,1027144445
1/31/1984,164.93,169.54,162.03,163.41,1230922222
2/29/1984,163.41,164,152.13,157.06,1073783335
3/31/1984,157.06,160.46,153.77,159.18,1030511111
4/30/1984,159.18,160.69,154.12,160.05,954183332
5/31/1984,160.05,162.11,148.68,150.55,1077527779
6/30/1984,150.55,155.64,148.53,153.18,1007150000
7/31/1984,153.16,153.87,147.26,150.66,923444445
8/31/1984,150.66,168.8,150.66,166.68,1403844444
9/30/1984,166.68,169.65,163.06,166.1,982588890
10/31/1984,166.1,169.62,160.02,166.09,1172349999
11/30/1984,166.09,170.41,162.99,163.58,976266664
12/31/1984,163.58,169.03,161.54,167.24,989444445
1/31/1985,167.2,180.27,163.36,179.63,1485394445
2/28/1985,179.63,183.95,177.75,181.18,1219233333
3/31/1985,181.18,183.89,176.53,180.66,1196161108
4/30/1985,180.66,183.61,177.86,179.83,1101044442
5/31/1985,179.83,189.98,178.35,189.55,1305744442
6/30/1985,189.55,191.85,185.03,191.85,1176111111
7/31/1985,191.85,196.07,189.3,190.92,1368372219
8/31/1985,190.92,192.17,186.1,188.63,1068444445
9/30/1985,188.63,188.8,179.45,182.08,1033422224
10/31/1985,182.06,190.15,181.16,189.82,1412911110
11/30/1985,189.82,203.4,189.37,202.17,1358538888
12/31/1985,202.17,213.08,200.1,211.28,1557988886
1/31/1986,211.28,214.57,202.6,211.78,1599450001
2/28/1986,211.78,227.92,210.82,226.92,1610611110
3/31/1986,226.92,240.11,222.18,238.9,1785888889
4/30/1986,238.9,245.47,226.3,235.52,1800222221
5/31/1986,235.52,249.19,232.26,247.35,1489022224
6/30/1986,246.04,251.81,238.23,250.84,1472000000
7/31/1986,250.67,253.2,233.07,236.12,1683277778
8/31/1986,236.12,254.24,231.92,252.93,1501055556
9/30/1986,252.93,254.13,228.08,231.32,1759055555
10/31/1986,231.32,244.51,231.32,243.98,1675966668
11/30/1986,243.97,249.22,235.51,249.22,1633794444
12/31/1986,249.22,254.87,241.28,242.17,1811594443
1/31/1987,242.17,280.96,242.17,274.08,2244933333
2/28/1987,274.08,287.55,273.16,284.2,1936277778
3/31/1987,284.17,302.72,282.3,291.7,2202833333
4/30/1987,291.59,303.65,275.67,288.36,2184277780
5/31/1987,286.99,298.69,277.01,290.1,1898722220
6/30/1987,290.12,310.27,286.93,304,1997222222
7/31/1987,303.99,318.85,302.53,318.66,2203555558
8/31/1987,318.62,337.89,314.51,329.8,2256888888
9/30/1987,329.81,332.18,308.56,321.83,2068444445
10/31/1987,321.83,328.94,216.46,251.79,3385833334
11/30/1987,251.73,257.21,225.75,230.3,1994183334
12/31/1987,230.32,253.35,221.24,247.08,2181527779
1/31/1988,247.1,261.78,240.17,257.07,1941500000
2/29/1988,257.05,267.82,247.82,267.82,2051800001
3/31/1988,267.82,272.64,256.07,258.89,2251650000
4/30/1988,258.89,272.05,254.71,261.33,1811533331
5/31/1988,261.36,263.7,248.85,262.16,1795205557
6/30/1988,262.16,276.88,262.1,273.5,2392616666
7/31/1988,273.5,276.36,262.48,272.02,1854705555
8/31/1988,272.03,274.2,256.53,261.52,1848594447
9/30/1988,261.52,274.87,256.98,271.91,1699694445
10/31/1988,271.89,283.95,268.84,278.97,1897311111
11/30/1988,278.97,280.37,262.85,273.7,1568233335
12/31/1988,273.68,280.45,270.47,277.72,1580500002
1/31/1989,277.72,297.51,273.81,297.47,1962344446
2/28/1989,297.47,300.57,286.26,288.86,1786822222
3/31/1989,288.86,299.99,286.46,294.87,1946961109
4/30/1989,294.87,310.45,294.35,309.64,1798472222
5/31/1989,309.64,323.06,304.06,320.52,2081844442
6/30/1989,320.51,329.19,314.38,317.98,2203661110
7/31/1989,317.98,346.08,317.26,346.08,1805016666
8/31/1989,346.08,352.73,339,351.45,2193944447
9/30/1989,351.45,354.13,341.37,349.15,1686122224
10/31/1989,349.15,360.44,327.12,340.36,2229261112
11/30/1989,340.36,346.5,330.91,345.99,1684533335
12/31/1989,346.01,354.1,339.63,353.4,1785233336
1/31/1990,353.4,360.59,319.83,329.08,2107361113
2/28/1990,329.08,336.09,322.1,331.89,1645538887
3/31/1990,331.89,344.49,331.08,339.94,1824044445
4/30/1990,339.94,347.3,327.76,330.8,1556233334
5/31/1990,330.8,362.26,330.8,361.23,1998155557
6/30/1990,361.26,368.78,351.23,358.02,1792377778
7/31/1990,358.02,369.78,350.09,356.15,1874188889
8/31/1990,356.15,357.35,306.18,322.56,2233738890
9/30/1990,322.56,326.53,295.98,306.05,1492933333
10/31/1990,306.1,319.69,294.51,304,2039944442
11/30/1990,303.99,323.02,301.61,322.22,1749872221
12/31/1990,322.23,333.98,321.97,330.22,1731572222
1/31/1991,330.2,343.93,309.35,343.93,2033466666
2/28/1991,343.91,370.96,340.37,367.07,2390650001
3/31/1991,367.07,379.66,363.73,375.22,2182177779
4/30/1991,375.22,391.26,370.27,375.34,2231777778
5/31/1991,375.35,389.85,365.83,389.83,2077611110
6/30/1991,389.81,389.81,367.98,371.16,1810405555
7/31/1991,371.18,387.81,370.92,387.81,1934205554
8/31/1991,387.81,396.82,374.09,395.43,2063233334
9/30/1991,395.43,397.62,382.77,387.86,1811661110
10/31/1991,387.86,393.81,376.11,392.45,2267988887
11/30/1991,392.46,398.22,371.63,375.22,2076455557
12/31/1991,375.11,418.32,371.36,417.09,2308505556
1/31/1992,417.03,421.18,408.64,408.78,2936822221
2/29/1992,408.79,418.08,406.34,412.7,2370894445
3/31/1992,412.68,413.78,401.94,403.69,2259022223
4/30/1992,403.67,416.28,392.41,414.95,2397688890
5/31/1992,414.95,418.75,409.85,415.35,2024433333
6/30/1992,415.35,417.3,399.92,408.14,2366572220
7/31/1992,408.2,424.8,407.2,424.21,2369566664
8/31/1992,424.19,425.14,408.3,414.03,2029900001
9/30/1992,414.03,425.27,412.71,417.8,2235472221
10/31/1992,417.8,421.16,396.8,418.68,2503894443
11/30/1992,418.66,431.93,415.58,431.35,2304872221
12/31/1992,431.35,442.65,428.61,435.71,2708972221
1/31/1993,435.7,442.66,426.88,438.78,2933805557
2/28/1993,438.78,450.04,428.25,443.38,3023583332
3/31/1993,443.38,456.76,441.07,451.67,3203861111
4/30/1993,451.67,452.63,432.3,440.19,3251761113
5/31/1993,440.19,454.55,436.86,450.19,2838133333
6/30/1993,450.23,455.63,442.5,450.53,3080222222
7/31/1993,450.54,451.15,441.4,448.13,2949183332
8/31/1993,448.13,463.56,446.94,463.56,3059000002
9/30/1993,463.55,463.8,449.64,458.93,3084844443
10/31/1993,458.93,471.1,456.4,467.83,3300255555
11/30/1993,467.83,469.11,454.36,461.79,3264783334
12/31/1993,461.93,471.29,461.45,466.45,3217338889
1/31/1994,466.51,482.85,464.36,481.61,3681883334
2/28/1994,481.6,482.23,464.26,467.14,3251722222
3/31/1994,467.19,471.09,436.16,445.77,4013894446
4/30/1994,445.66,452.79,435.86,450.91,3186116668
5/31/1994,450.91,457.77,440.78,456.5,3153316667
6/30/1994,456.5,463.23,439.83,444.27,3251483335
7/31/1994,444.27,459.33,443.58,458.26,2766722222
8/31/1994,458.28,477.59,456.08,475.49,3554861113
9/30/1994,475.49,475.49,458.47,462.71,3418261109
10/31/1994,462.69,474.74,449.27,472.35,3524833333
11/30/1994,472.26,472.26,444.18,453.69,3472911113
12/31/1994,453.55,462.73,442.88,459.27,3528627777
1/31/1995,459.21,471.36,457.2,470.42,3806700001
2/28/1995,470.42,489.19,469.29,487.39,3516722221
3/31/1995,487.39,508.15,479.7,500.71,4329111109
4/30/1995,500.7,515.29,500.2,514.71,3503905556
5/31/1995,514.76,533.41,513.03,533.4,4197605555
6/30/1995,533.4,551.07,526,544.75,4197583333
7/31/1995,544.75,565.4,542.51,562.06,4059977778
8/31/1995,562.06,565.62,553.04,561.88,3970344445
9/30/1995,561.88,587.61,561.01,584.41,3918238888
10/31/1995,584.41,590.66,571.55,581.5,4468511111
11/30/1995,581.5,608.69,581.04,605.37,4223416666
12/31/1995,605.37,622.88,605.05,615.93,4276411115
1/31/1996,615.93,636.18,597.29,636.02,5104472223
2/29/1996,636.02,664.23,633.71,640.43,4861088889
3/31/1996,640.43,656.97,627.63,645.5,4991222222
4/30/1996,645.5,656.68,624.14,654.17,4930877777
5/31/1996,654.17,681.1,630.07,669.12,4956188891
6/30/1996,669.12,680.32,658.75,670.63,4406022223
7/31/1996,670.63,675.88,605.88,639.95,4916588889
8/31/1996,639.95,670.68,639.49,651.99,4100177777
9/30/1996,651.99,690.88,643.97,687.33,4480038888
10/31/1996,687.31,714.1,684.44,705.27,5390927779
11/30/1996,705.27,762.12,701.3,757.02,4868805555
12/31/1996,757.02,761.75,716.69,740.74,5049538888
1/31/1997,740.74,794.67,729.55,786.16,6464349998
2/28/1997,786.16,817.68,773.43,790.82,5397738890
3/31/1997,790.82,814.9,756.13,757.12,5622644442
4/30/1997,757.12,804.13,733.54,801.34,5808266665
5/31/1997,801.34,851.87,793.21,848.28,5614805555
6/30/1997,848.28,902.09,838.82,885.14,6032194443
7/31/1997,885.14,957.73,884.54,954.31,6643400001
8/31/1997,954.29,964.17,893.34,899.47,5892277779
9/30/1997,899.47,960.59,899.47,947.28,6323888891
10/31/1997,947.28,983.12,855.27,914.62,7787366667
11/30/1997,914.62,964.55,900.61,955.4,5652011111
12/31/1997,955.4,986.25,924.92,970.43,6643822225
1/31/1998,970.43,992.65,912.83,980.28,7074350003
2/28/1998,980.28,1051.66,980.28,1049.34,6475861110
3/31/1998,1049.34,1113.07,1030.87,1101.75,7621994443
4/30/1998,1101.75,1132.98,1076.7,1111.75,7586699999
5/31/1998,1111.75,1130.52,1074.39,1090.82,6376188890
6/30/1998,1090.82,1145.15,1074.67,1133.84,7528872223
7/31/1998,1133.84,1190.58,1114.3,1120.67,7886000001
8/31/1998,1120.67,1121.79,957.28,957.28,8373083335
9/30/1998,957.28,1066.11,939.98,1017.01,9285600002
10/31/1998,1017.01,1103.78,923.32,1098.67,10000916665
11/30/1998,1098.67,1192.97,1098.67,1163.63,7472933335
12/31/1998,1163.63,1244.93,1136.89,1229.23,8434138890
1/31/1999,1229.23,1280.37,1205.46,1279.64,9007500001
2/28/1999,1279.64,1283.84,1211.89,1238.33,8086588888
3/31/1999,1238.33,1323.82,1216.03,1286.37,10001388890
4/30/1999,1286.37,1371.56,1282.56,1335.18,10290666667
5/31/1999,1335.18,1375.98,1277.31,1301.84,8822366667
6/30/1999,1301.84,1372.93,1277.47,1372.71,8932872226
7/31/1999,1372.71,1420.33,1328.49,1328.72,8518294443
8/31/1999,1328.72,1382.84,1267.73,1320.41,8788083333
9/30/1999,1320.41,1361.39,1256.26,1282.71,9132611113
10/31/1999,1282.71,1373.17,1233.7,1362.93,10462222222
11/30/1999,1362.93,1425.31,1346.41,1389.07,10213788889
12/31/1999,1388.91,1473.13,1387.38,1469.25,10911494445
1/31/2000,1469.25,1478,1350.14,1394.46,11941333334
2/29/2000,1394.46,1444.55,1325.07,1366.42,11617777779
3/31/2000,1366.42,1552.87,1346.62,1498.58,14531222225
4/30/2000,1498.58,1527.19,1339.4,1452.43,11170255554
5/31/2000,1452.43,1481.51,1361.09,1420.6,11054611110
6/30/2000,1420.6,1488.93,1420.6,1454.6,12076833336
7/31/2000,1454.6,1517.32,1413.89,1430.83,10605055554
8/31/2000,1430.83,1525.21,1425.43,1517.68,11313166668
9/30/2000,1517.68,1530.09,1419.44,1436.51,11576833333
10/31/2000,1436.52,1454.82,1305.79,1429.4,14417444445
11/30/2000,1429.4,1438.46,1294.9,1314.95,11406833334
12/31/2000,1314.95,1389.05,1254.07,1320.28,13117111114
1/31/2001,1320.28,1383.37,1274.62,1366.01,15461000000
2/28/2001,1366.01,1376.38,1215.44,1239.94,12024666666
3/31/2001,1239.94,1267.42,1081.19,1160.33,15448116667
4/30/2001,1160.33,1269.3,1091.99,1249.46,14116661111
5/31/2001,1249.46,1315.93,1232,1255.82,13625500000
6/30/2001,1255.82,1286.62,1203.03,1224.38,13748905556
7/31/2001,1224.42,1239.78,1165.54,1211.23,13218727778
8/31/2001,1211.23,1226.27,1124.87,1133.58,12977333333
9/30/2001,1133.58,1155.4,944.75,1040.94,13902938889
10/31/2001,1040.94,1110.61,1026.76,1059.78,16639600001
11/30/2001,1059.78,1163.38,1054.31,1139.45,14627777780
12/31/2001,1139.45,1173.62,1114.53,1148.08,13960316666
1/31/2002,1148.08,1176.97,1081.66,1130.2,16525666669
2/28/2002,1130.2,1130.2,1074.36,1106.73,14470888889
3/31/2002,1106.73,1173.94,1106.73,1147.39,14757333332
4/30/2002,1147.39,1147.84,1063.46,1076.92,15871611110
5/31/2002,1076.92,1106.59,1048.96,1067.14,14947500000
6/30/2002,1067.14,1070.74,952.92,989.82,16656394445
7/31/2002,989.82,994.46,775.68,911.62,23460399999
8/31/2002,911.62,965,833.44,916.07,16276888887
9/30/2002,916.07,924.02,800.2,815.28,15402061112
10/31/2002,815.28,907.44,768.63,885.76,21031283335
11/30/2002,885.76,941.82,872.05,936.31,16222755556
12/31/2002,936.31,954.28,869.45,879.82,14440911110
1/31/2003,879.82,935.05,840.34,855.7,17083099998
2/28/2003,855.7,864.64,806.29,841.15,14019611111
3/31/2003,841.15,895.9,788.9,848.18,16711127779
4/30/2003,848.18,924.24,847.85,916.92,16483116666
5/31/2003,916.92,965.38,902.83,963.59,17195611111
6/30/2003,963.59,1015.33,963.59,974.5,17344111112
7/31/2003,974.5,1015.41,962.1,990.31,17529555555
8/31/2003,990.31,1011.01,960.84,1008.01,13823038889
9/30/2003,1008.01,1040.29,990.36,995.97,16633394445
